Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 374, y: -91, z: -870
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 13, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 376, y: -84, z: -872
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 378, y: -94, z: -868
Data: 2024-04-03, Sensore: Magnetometer, x: 376, y: -91, z: -870
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 382, y: -83, z: -874
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -82, z: -876
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 387, y: -86, z: -875
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 387, y: -96, z: -872
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 385, y: -97, z: -869
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 385, y: -94, z: -868
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 378, y: -93, z: -866
Data: 2024-04-03, Sensore: Magnetometer, x: 389, y: -89, z: -866
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 386, y: -82, z: -867
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 999
Data: 2024-04-03, Sensore: Magnetometer, x: 382, y: -96, z: -865
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 382, y: -106, z: -859
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: -0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 378, y: -96, z: -863
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 376, y: -95, z: -861
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -100, z: -856
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 387, y: -102, z: -861
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 13, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 382, y: -104, z: -862
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 385, y: -108, z: -857
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -94, z: -862
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 999
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 375, y: -90, z: -864
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 999
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -101, z: -861
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 374, y: -102, z: -866
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 373, y: -92, z: -868
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -83, z: -872
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 391, y: -99, z: -861
Data: 2024-04-03, Sensore: Magnetometer, x: 393, y: -102, z: -851
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 386, y: -88, z: -864
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 379, y: -93, z: -870
Data: 2024-04-03, Sensore: Magnetometer, x: 381, y: -94, z: -869
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -98, z: -863
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Magnetometer, x: 380, y: -103, z: -862
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 13, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.28, y: 0.07, z: -0.21
Data: 2024-04-03, Sensore: Magnetometer, x: 375, y: -86, z: -871
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -93, z: -863
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 999
Data: 2024-04-03, Sensore: Magnetometer, x: 387, y: -100, z: -855
Data: 2024-04-03, Sensore: Accelerometer, x: 18, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 383, y: -89, z: -863
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.0, z: -0.14
Data: 2024-04-03, Sensore: Magnetometer, x: 384, y: -99, z: -866
Data: 2024-04-03, Sensore: Accelerometer, x: 19, y: 12, z: 998
Data: 2024-04-03, Sensore: Gyroscope, x: -0.35, y: 0.07, z: -0.21
